"","Player","height","X3P","X3PA"
"625","Trey Lyles",208,2.4,6.9
"626","Tristan Thompson",206,0,0
"627","Troy Daniels",193,6.1,14.9
"628","Troy Murphy",211,1.6,4
"629","Ty Lawson",180,1.5,4.1
"630","Tyler Ennis",190,1.6,4.6
"631","Tyler Hansbrough",206,0,0.2
"632","Tyler Johnson",193,1.9,5.2
"633","Tyler Ulis",178,0.9,3.4
"634","Tyler Zeller",213,0,0.1
"635","Tyreke Evans",198,1,3.5
"636","Tyrus Thomas",206,0.1,0.2
"637","Tyshawn Taylor",190,1,2.7
"638","Tyson Chandler",216,0,0
"639","Tyus Jones",188,1.6,4.7
"640","Udonis Haslem",203,0,0.1
"641","Viacheslav Kravtsov",213,0,0
"642","Victor Claver",206,1.7,5.6
"643","Victor Oladipo",193,2,5.8
"644","Vince Carter",198,2.5,6.7
"645","Vladimir Radmanovic",208,3.2,8.3
"646","Wayne Ellington",193,2.9,7.8
"647","Wesley Johnson",201,2.3,6.9
"648","Wesley Matthews",185,3.4,8.8
"649","Will Barton",198,1.9,5.9
"650","Will Bynum",183,0.7,2.5
"651","Willie Cauley-Stein",213,0,0.1
"652","Willie Green",193,1.8,5.3
"653","Willie Reed",206,0,0.1
"654","Willy Hernangomez",211,0.2,0.6
"655","Wilson Chandler",203,2.2,6.3
"656","Xavier Henry",198,0.7,2.3
"657","Yogi Ferrell",183,2.9,7.6
"658","Zach LaVine",196,2.6,6.8
"659","Zach Randolph",206,0.2,0.9
"660","Zaza Pachulia",211,0,0.1
